Participant ID,Per,"esempio,",queste,persone,sono,gli,stranieri,immigrati,in,Italia,da,poco,"tempo,",che,Selected target
Sofiiiiiii <3,540,651,614,619,628,605,789,664,638,737,638,694,650,690,conoscono
giulia,500,890,650,690,620,890,845,1660,650,640,610,590,610,450,conoscono
Rahel,485,573,458,455,448,491,541,604,550,506,497,617,1104,475,conoscono
Enrico,312,224,184,344,393,368,376,464,448,471,481,456,513,825,conoscono
Michela,385,354,418,365,382,406,459,576,430,596,550,590,609,539,conoscono
Stefano,474,456,480,592,511,394,421,616,537,460,545,390,585,514,conoscono
Enrica,291,391,366,336,393,401,488,359,428,352,338,307,356,335,conoscono
Mil,304,520,400,992,624,560,584,592,440,544,464,400,488,464,conoscono
mazzone trifone,2305,3893,1585,715,505,416,875,989,559,1357,615,1932,1583,5067,conoscono
lucrezia,919,1102,909,1299,908,903,889,900,1121,802,814,679,649,742,conoscono
Xenia,463,633,386,436,433,408,402,677,438,471,466,493,545,519,conoscono
Nicola,404,429,399,450,477,428,435,473,803,450,437,753,438,449,conoscono
amanda,471,534,479,431,388,354,361,735,418,394,442,378,483,415,conoscono
L.,457,440,500,503,438,420,569,741,613,399,384,368,495,472,conoscono
Amandine,1030,1810,816,813,624,724,1218,1085,607,939,681,1060,880,558,conoscono
Francesco,328,205,207,258,200,467,357,243,438,360,482,405,422,397,conoscono
Antonella,521,467,504,375,396,315,773,699,625,626,556,519,501,442,conoscono
letizia,508,672,492,456,445,441,540,1180,457,470,451,472,516,406,conoscono
Cloe,590,585,494,581,518,500,876,839,1106,615,701,684,603,486,conoscono
Average,594.0526315789474,780.4736842105264,544.2631578947369,563.6842105263158,491.10526315789474,499.5263157894737,620.9473684210526,741.8947368421053,595.0526315789474,588.8947368421053,534.3157894736842,620.3684210526316,633.1578947368421,749.7368421052631,
Min,291,205,184,258,200,315,357,243,418,352,338,307,356,335,
Max,2305,3893,1585,1299,908,903,1218,1660,1121,1357,814,1932,1583,5067,
